Company,Company Score,Job Title,Location,Salary,Converted_Salary,In_GA
Mars,3.3,"Intern, Internal Audit and Advisory Services (IAAS)","Atlanta, GA",$30.00 - $40.00 Per Hour (Employer est.),30,Yes
Cart.com,3.4,"Summer 2025 Mars Petcare Supply Chain Business Systems Internship - Franklin, TN","Franklin, TN",$20.00 - $25.00 Per Hour (Employer est.),20,No
GE Aviation,4.2,Associate Brand/ Brand Manager- Amazon Marketplace,Texas,$10.00 - $12.00 Per Hour (Employer est.),10,No
Michigan State University,2.6,GE Aerospace US Digital Technology Intern - Summer 2025,"Evendale, OH",$20.00 Per Hour (Employer est.),20,No
"City of Huntington Beach, CA",4.6,Professional Aide,"East Lansing, MI",$20.00 Per Hour (Employer est.),20,No
RippleMatch Opportunities,3.9,COLLEGE INTERN I-III/GRADUATE INTERN,"Huntington Beach, CA",$17.00 - $18.00 Per Hour (Employer est.),17,No
Connect for Health Colorado,3.8,"GSK - Summer Co-op/Process Modelling and Simulation, application via RippleMatch",Upper Providence Township,$54K - $100K (Glassdoor est.),54,No
"DiverseAllen Horizons, Inc.",4,Policy Intern,"Denver, CO",$9.00 - $12.00 Per Hour (Employer est.),9.,No
Lucid Software,3.2,DFA IT Process Improvement Intern AY2024-25,"Corvallis, OR",$43K - $75K (Glassdoor est.),43,No
Medtronic,3.7,Customer Operations Intern,"Salt Lake City, UT",$15.12 - $15.99 Per Hour (Employer est.),15,No
Genworth,4.2,Operations Engineering Intern – Summer 2025 (Graduate),"Minneapolis, MN",$19.50 - $24.00 Per Hour (Employer est.),19,No
1Oklahoma,3.7,IT Development Program Internship,"Richmond, VA",$42K - $56K (Glassdoor est.),42,No
Love's Travel Stops & Country Stores,4,Merchandise Intern,"Norman, OK",$49K - $81K (Glassdoor est.),49,No
Prudential,3.5,Merchandising Analytics Intern (Summer 2025),"Oklahoma City, OK",$16.00 - $34.00 Per Hour (Employer est.),16,No
Stantec,4.3,"PGIM: 2025 Operations & Innovation, Innovation & Analytics Internship Program","Newark, NJ",$18.40 - $30.00 Per Hour (Employer est.),18,No
The Gerken Companies,4.2,Traffic Engineer Intern / Co-Op - Transportation (Fall 2024),"New York, NY",$37K - $56K (Glassdoor est.),37,No
