Company,Company Score,Job Title,Location,Salary,Converted_Salary,In_GA
PepsiCo,3.9,2025 Summer Intern: R&D,"Plano, TX",$21.50 - $55.40 Per Hour (Employer est.),21,No
ghSMART,4.8,Data Engineer Intern,Remote,$20.00 - $30.00 Per Hour (Employer est.),20,No
PepsiCo,3.9,2025 Summer Intern: eCommerce Data Science,United States,$21.50 - $40.19 Per Hour (Employer est.),21,No
U.S. Bank National Association,3.6,2025 Data Analytics Summer Intern,"Minneapolis, MN",$20.63 - $30.25 Per Hour (Employer est.),20,No
Plymouth Rock Assurance,3.4,Fall 2024 Data Science/Predictive Modeler Intern,"Woodbridge, NJ",$77K - $130K (Glassdoor est.),77,No
Brookfield Properties,3.8,Data Analyst Intern,"Charleston, SC",$36K - $50K (Glassdoor est.),36,No
GE HEALTHCARE,4.2,Edison Engineering Program Intern – Software,"Waukesha, WI",$72K - $120K (Glassdoor est.),72,No
InComm Payments,3.6,Data Analyst Intern,"Atlanta, GA",$50K - $67K (Glassdoor est.),50,Yes
PepsiCo,3.9,2025 Summer Intern: Commerce Data & Technology,United States,$21.50 - $40.19 Per Hour (Employer est.),21,No
Copart,3.5,Data & AI Intern,"Dallas, TX",$57K - $86K (Glassdoor est.),57,No
20 Digits Inc,3.5,Data Analyst Intern,"Sewell, NJ",$60K - $93K (Glassdoor est.),60,No
Copart,4.1,Data Engineering Intern,"Dallas, TX",$72K - $100K (Glassdoor est.),72,No
Oshkosh Corporation,3.2,Data Engineer Intern - Advanced Analytics,"Oshkosh, WI",$18.00 - $21.00 Per Hour (Employer est.),18,No
CALSTART,4,Data Research Intern,Remote,$121K - $204K (Glassdoor est.),12,No
Nissan,3.5,"EV Strategy Data Science Intern- Fall 2024- Franklin, TN","Franklin, TN",$20.00 Per Hour (Employer est.),20,No
American Crystal Sugar Company,3.7,Analytics & Data Intern,"Moorhead, MN",$57K - $106K (Glassdoor est.),57,No
WSP,4.1,Data Science Intern - Fall 2024,"Kennesaw, GA",$22.00 - $28.00 Per Hour (Employer est.),22,Yes
California Institute of Genetics,3.3,Research Intern,United States,$25.00 Per Hour (Employer est.),25,No
BMW,3.8,"Intern, Commercial Credit and Data Analytics","Columbus, OH",$30.75 - $40.75 Per Hour (Employer est.),30,No
Everytown for Gun Safety,5,Research Intern,United States,$49K - $68K (Glassdoor est.),49,No
PRICE WATERHOUSE COOPERS,4.1,Digital Assurance & Transparency (DAT) Data Intern - Summer 2025,United States,$57K - $81K (Glassdoor est.),57,No
Boston Bolts,3.7,"Academy Data Analyst - Part-time, Remote","Newton, MA",$85K - $155K (Glassdoor est.),85,No
The University of Chicago,3.2,Temporary Data Engineer/Data Analyst Intern,"Chicago, IL",$22.86 Per Hour (Employer est.),22,No
Belvedere Trading,3.8,Quantitative Trading Intern - Summer 2025,"Chicago, IL",$57K - $85K (Glassdoor est.),57,No
Utah Transit Authority,3.8,Data Reporting and Analytics Intern,"Salt Lake City, UT",$21.00 - $28.00 Per Hour (Employer est.),21,No
ARCO a Family of Construction Companies,3.3,Data Engineer Intern/Co-op,"Saint Louis, MO",$20.00 - $43.00 Per Hour (Employer est.),20,No
Voya Financial,3.8,Summer 2025 Actuarial Intern,Remote,$24.00 - $34.00 Per Hour (Employer est.),24,No
Hytrol Conveyor Company,4,"Data Engineer Intern - Jonesboro, AR","Jonesboro, AR",$52K - $97K (Glassdoor est.),52,No
CCC Information Services Inc.,3.9,Data Science Fall Internship,"Chicago, IL",$18.00 - $24.00 Per Hour (Employer est.),18,No
Cargill,4.1,"Software Engineering Intern Summer 2025 - Atlanta, GA","Atlanta, GA",$21.50 - $54.00 Per Hour (Employer est.),21,Yes
IDEMIA,4,Data Analyst Internship (Fall 2024),"Exton, PA",$47K - $73K (Glassdoor est.),47,No
First Solar,3.3,Manufacturing Engineering Data Science Intern (Fall 2024),"Perrysburg, OH",$30.00 - $40.00 Per Hour (Employer est.),30,No
Cargill,3.9,"Trading Data & Analytics Intern Summer 2025 - Minneapolis, MN","Wayzata, MN",$33.00 Per Hour (Employer est.),33,No
Hytrol Conveyor Company,5,"Data Scientist Intern - Jonesboro, AR","Jonesboro, AR",$42.50 Per Hour (Employer est.),42,No
PepsiCo,4.1,"2025 Summer Intern: Technology Data & Analytics, Data Engineer & Data Science","Purchase, NY",$51K - $92K (Glassdoor est.),51,No
Peak Nano,4.1,SOFTWARE ENGINEER INTERN,"Macedonia, OH",$55K - $84K (Glassdoor est.),55,No
Bosch Group,4,Mechanical/Automation Engineer Intern,"Sunnyvale, CA",$1K (Employer est.),1K,No
"Milwaukee Bucks, Inc",4.1,Customer Data Intern,"Milwaukee, WI",$43K - $79K (Employer est.),43,No
United Nations Development Programme (UNDP),3.8,SDG Impact Intern,Remote,$49K - $78K (Glassdoor est.),49,No
The Cincinnati Insurance Companies,4.6,Student Opportunities - Data Science Intern (PhD candidate) - Fall 2024 (Hybrid),"Fairfield, OH",$18.00 Per Hour (Employer est.),18,No
Medtronic,3.4,Software Engineering Intern – Summer 2025 (Graduate),"Minneapolis, MN",$16.00 - $18.00 Per Hour (Employer est.),16,No
The David J. Joseph Company,4.3,IT Intern/Co-op (Spring/Summer 2025),"Cincinnati, OH",$27K - $40K (Glassdoor est.),27,No
Physicians Mutual,3.6,Data Science Intern (12 Month Onsite Internship),"Omaha, NE",$86K - $147K (Glassdoor est.),86,No
Greentree Capital,3.8,Diversity Outreach Intern (Remote),Remote,$21.50 - $40.19 Per Hour (Employer est.),21,No
Premier Inc.,4,Data Analytics Management Consulting Intern,Remote,$36.00 - $38.00 Per Hour (Employer est.),36,No
Kohler,3.7,Kohler Intern,"Kohler, WI",$24.05 - $63.00 Per Hour (Employer est.),24,No
Leonardo DRS,3.3,Fall 2024- Pricing Analyst- Intern,"Melbourne, FL",$18.00 Per Hour (Employer est.),18,No
Castleton Commodities International,3.8,Data Engineering Internship (Summer 2025),"Stamford, CT",$20.00 Per Hour (Employer est.),20,No
SC2,4.3,Data Analytics Intern,"Peoria, IL",$19.15 - $20.45 Per Hour (Employer est.),19,No
Master Center for Addiction Medicine,3.3,Billing Data Analytics Intern,"Glen Allen, VA",$54.00 - $56.00 Per Hour (Employer est.),54,No
"AcreTrader, Inc",3.9,Data Entry Intern,"Fayetteville, AR",$16.00 - $20.50 Per Hour (Employer est.),16,No
TikTok,3.6,Reporting and Documentation Analyst Intern (TikTok Global Security) - 2025 Summer (BS/MS),"Washington, DC",$36K - $69K (Employer est.),36,No
PepsiCo,4.1,2025 Summer Intern: Supply Chain,"Purchase, NY",$15.00 Per Hour (Employer est.),15,No
Prudential,3.4,"Prudential: 2025 Technology & Data, Software Engineering Internship Program","Newark, NJ",$27.00 - $30.00 Per Hour (Employer est.),27,No
Amex,3.4,"Campus Undergraduate – 2025 US Consumer Services Marketing Summer Internship New York, NY","New York, NY",$21.50 - $40.19 Per Hour (Employer est.),21,No
Stand Together,3.4,KIP Fall 2024 - Policy Intern - Libertas Institute,Remote,$24.00 - $28.00 Per Hour (Employer est.),24,No
Zeno Group,3.9,"Intern, Analytics","Chicago, IL",$25.00 Per Hour (Employer est.),25,No
Hasbro,4.3,"Intern - Marketing, Play-Doh (Sept - Dec 2024)","Pawtucket, RI",$36.00 - $38.00 Per Hour (Employer est.),36,No
SmartDev LLC,4,Global health financing intern,Remote,$19.00 Per Hour (Employer est.),19,No
youbloom,3.7,Business Analysis Intern,Remote,$85K - $122K (Glassdoor est.),85,No
SECURA Insurance,3.5,Intern - Actuarial/Data Science,"Neenah, WI",$50K - $74K (Glassdoor est.),50,No
Databricks,3.3,Software Engineering Intern (2025),"San Francisco, CA",$95K - $157K (Glassdoor est.),95,No
"Jones Strategy and Consulting Group, LLC",2.9,Business Analyst Intern,United States,$22.00 - $25.00 Per Hour (Employer est.),22,No
CACI,3.9,Data Engineering Intern - Fall 2024,"Charlottesville, VA",$65K - $98K (Glassdoor est.),65,No
"PHI, Inc.",3.8,Business Development Intern,"Lafayette, LA",$48K - $71K (Glassdoor est.),48,No
City of Philadelphia,3.8,Data Analyst Intern,"Philadelphia, PA",$22.00 - $25.00 Per Hour (Employer est.),22,No
Hytrol Conveyor Company,3.6,"Business Analyst Engineer Intern - Jonesboro, AR","Jonesboro, AR",$20.00 Per Hour (Employer est.),20,No
Eye Care Partners Career Opportunities,3.5,"Data Analyst Intern - Must Live in St. Louis, MO!","Ballwin, MO",$15.79 - $17.25 Per Hour (Employer est.),15,No
PepsiCo,4.2,2025 Summer Intern: Procurement Intern - Undergrad,"Purchase, NY",$36.00 - $38.00 Per Hour (Employer est.),36,No
Medtronic,3.9,Summer 2025 Management Information Systems Intern - Undergraduate,"Mounds View, MN",$17.00 - $20.00 Per Hour (Employer est.),17,No
University Health Partners of Hawaii,3.7,"Digital Health Data Engineer Intern - Hybrid, Part-Time","Honolulu, HI",$22.00 - $33.00 Per Hour (Employer est.),22,No
Prudential,4,"Prudential: 2025 Technology & Data, Data Analytics & Business Systems Internship Program","Newark, NJ",$1K (Employer est.),1K,No
Universal Service Administrative Company,3.9,Data Strategy Intern- Year Round Internship,"Washington, DC",$2K (Employer est.),2K,No
SAP,3.7,SAP Ariba iXp Intern - Business Intelligence and Data Analytics,"Indianapolis, IN",$30.00 Per Hour (Employer est.),30,No
Philadelphia Gas Works,3.8,Data Analytics Intern,"Philadelphia, PA",$25.00 - $35.00 Per Hour (Employer est.),25,No
ByteDance,3.1,Site Reliability Engineer Intern (Data-Technical Infrastructures-SRE-US)- 2025 Summer (MS),"Seattle, WA",$59K - $102K (Glassdoor est.),59,No
SES,3.6,Internship - Payload Satellite Engineering: Big Data Sets,"Bristow, VA",$17.50 Per Hour (Employer est.),17,No
Compsource Mutual Insurance Company,3.7,"Intern, Financial & Actuarial Data Analyst","Oklahoma City, OK",$71K - $114K (Glassdoor est.),71,No
American Commercial Barge Line,4,Supply Chain Data Analyst Intern (Fall 2024),"Jeffersonville, IN",$52K - $68K (Glassdoor est.),52,No
Sikka Software,3.5,Data Discovery ETL Developer Intern,"San Jose, CA",$15.00 - $20.00 Per Hour (Employer est.),15,No
Premium Waters,3.2,Intern (Data Coordinator),"Riverside, MO",$57K - $85K (Glassdoor est.),57,No
Prudential,4,"Prudential: 2025 Corporate, Internal Audit Data Analytics Internship Program","Newark, NJ",$18.00 - $21.00 Per Hour (Employer est.),18,No
Davines Italia spa,3.9,"Marketing Intern, Davines North America",New York State,$17.00 Per Hour (Employer est.),17,No
Northrop Grumman,3.9,2025 Summer Business Management Analyst Intern Linthicum MD,"Linthicum, MD",$15.00 Per Hour (Employer est.),15,No
"Seminole County, FL",3.6,Student Intern Opportunity - Fire Dept Data Analytics & Visualization,United States,$3K - $6K (Employer est.),3K,No
EPMA,3.4,Data Science- Internship opportunity (UT Austin/ University of Texas-San Marcos/ Texas A& M) -Onsite- Austin Tx.,"Austin, TX",$61K - $109K (Glassdoor est.),61,No
Peloton,3.8,2025 Land Data Management Internship Program,"Katy, TX",$43K - $79K (Glassdoor est.),43,No
Springer Capital,4,Diversity and Equity Initiatives Intern (Remote),Remote,$47K - $68K (Glassdoor est.),47,No
RTI International,4.4,Geospatial Data Analyst Internship,"Durham, NC",$69K - $75K (Employer est.),69,No
BASF Corporation,3.8,Professional Development Program (PDP) Internship - Data Science Summer 2025,"Florham Park, NJ",$20.88 - $26.10 Per Hour (Employer est.),20,No
AON Marketing Inc.,3.7,Sales Intern,"Tampa, FL",$30K - $43K (Glassdoor est.),30,No
Macquarie Group Limited,5,2025 Technology Summer Internship Program,"Houston, TX",$24.05 - $63.00 Per Hour (Employer est.),24,No
State Farm,3.4,2025 Summer Intern - P&C Actuarial,"Bloomington, IL",$91K - $135K (Glassdoor est.),91,No
ConocoPhillips,3,2025 Actuary Analyst Intern,Remote,$91K - $162K (Glassdoor est.),91,No
PCORI,4.2,"Intern, Information Technology 2025 (CONV)","Bartlesville, OK",$44K - $60K (Glassdoor est.),44,No
Micron,2,Fall Intern - Procurement,"Washington, DC",$6K - $21K (Employer est.),6K,No
AbbVie,3.4,"Intern - Yield Enhancement, Data Analysis","Boise, ID",$14.00 - $21.00 Per Hour (Employer est.),14,No
Kadant Black Clawson,4.1,2025 Finance Intern,"North Chicago, IL",$25.00 Per Hour (Employer est.),25,No
PRICE WATERHOUSE COOPERS,3.9,Engineering Intern - Data Analytics,"Lebanon, OH",$19.22 Per Hour (Employer est.),19,No
Keymanna Management,3.9,Tax Technology Intern - Summer 2025,"Los Angeles, CA",$18.00 - $20.00 Per Hour (Employer est.),18,No
Legrand North America,2.8,Intern- Event Management,Remote,$1K (Employer est.),1K,No
Activation Capital,3.5,Supply Chain Intern,United States,$24.62 - $30.00 Per Hour (Employer est.),24,No
Stonersville F.C. Flames,4.1,Project Management Intern,"Richmond, VA",$75.00 - $82.00 Per Hour (Employer est.),75,No
News Corp,3.9,Sales/Marketing Intern,Remote,$1K (Employer est.),1K,No
Sapna NYC Inc.,2.9,AI Engineering Intern,"New York, NY",$30.00 - $45.00 Per Hour (Employer est.),30,No
Dover Food Retail,5,"Sapna NYC Data, Research, & Communications Intern","Bronx, NY",$60.00 - $75.00 Per Hour (Employer est.),60,No
CyberSC,4.1,"Intern, Product Management","Conyers, GA",$22.00 - $24.00 Per Hour (Employer est.),22,Yes
RippleMatch Opportunities,3.8,Digital Marketing Intern - Events,Remote,$20.50 - $27.50 Per Hour (Employer est.),20,No
Belt Power,3.7,"Business Intelligence Intern, application via RippleMatch","Denver, CO",$37.00 - $39.00 Per Hour (Employer est.),37,No
Stand Together,4.2,Business Analytics Intern,"Marietta, GA",$20.00 - $40.00 Per Hour (Employer est.),20,Yes
Hunter Engineering Company,3.6,KIP Fall 2024 - Training and Education Intern - Atlas Network,Remote,$35K - $51K (Glassdoor est.),35,No
GLOBAL Healing Creative Arts Therapy Studio,4.1,Digital Marketing Intern,"Bridgeton, MO",$20.00 - $22.00 Per Hour (Employer est.),20,No
Hilltop Holdings,3.9,Supply Chain Intern,"New Baltimore, MI",$30K - $49K (Glassdoor est.),30,No
ZAGG Inc,4.6,Quantitative Analytics Intern,"Dallas, TX",$45K - $68K (Glassdoor est.),45,No
Isuzu,4.4,Product Management Intern,"Midvale, UT",$20.00 - $32.00 Per Hour (Employer est.),20,No
ASPCA,4.2,Commercial Vehicle Engineering Intern,"Plymouth, MI",$56K - $92K (Glassdoor est.),56,No
Mind by Design Counseling LLC,4.3,Internship in Applied Animal Welfare Research (Spring or Summer 2025),,$102K - $145K (Glassdoor est.),10,No
DSM,4,Internship and Data Coordinator,"San Francisco, CA",$19.00 - $22.00 Per Hour (Employer est.),19,No
Moda Health,4.4,RA Data Analytics Apprentice,Connecticut,$20.96 - $33.54 Per Hour (Employer est.),20,No
Peak Nano,3.3,Provider Analytics Intern,"Portland, OR",$45.00 Per Hour (Employer est.),45,No
Amex,3.3,AI/ML DEVELOPMENTAL INTERN,"Macedonia, OH",$15.00 Per Hour (Employer est.),15,No
ATPCO,2,"Campus Undergraduate - 2025 Finance Summer Internship New York, NY",United States,$22.54 Per Hour (Employer est.),22,No
ByteDance,3.1,Systems Engineer Intern,"Dulles, VA",$24.05 - $63.00 Per Hour (Employer est.),24,No
Schneider Electric,4,Software Engineer Intern (Data Management Suite-Globalization) - 2025 Summer/Fall (BS/MS),"San Jose, CA",$45.00 Per Hour (Employer est.),45,No
ZS Associates,3.8,Data Analytics/Procurement Intern,"Nashville, TN",$21.00 Per Hour (Employer est.),21,No
Taft Museum of Art,4.4,Decision Analytics Associate - Intern (North America - University Students),"Princeton, NJ",$88K - $165K (Glassdoor est.),88,No
Arrowstreet Capital,3.2,Museum Data Collection Intern,"Cincinnati, OH",$41.00 - $43.00 Per Hour (Employer est.),41,No
Tenaris,4,"Quantitative Developer Intern, Summer 2025","Boston, MA",$16.00 - $17.00 Per Hour (Employer est.),16,No
Maricopa Association of Governments,3.1,Communications Intern,"Houston, TX",$41K - $67K (Glassdoor est.),41,No
Arrowstreet Capital,4.1,Transportation Data Intern,"Phoenix, AZ",$45K - $83K (Glassdoor est.),45,No
University of Utah Health,3.3,"Quantitative Researcher Intern, Summer 2025","Boston, MA",$52K - $85K (Glassdoor est.),52,No
Aqua Rocks Colorado,3.8,Analytics Intern,"Salt Lake City, UT",$61K - $105K (Glassdoor est.),61,No
Greentree Capital,3.8,Paid Marketing Intern,"Commerce City, CO",$40K - $63K (Glassdoor est.),40,No
EMD Electronics,3.6,Diversity and Equity Initiatives Intern (Remote),Remote,$58K - $105K (Glassdoor est.),58,No
Splunk,3.8,Maintenance Co-op,"Branchburg, NJ",$72K - $85K (Employer est.),72,No
Sammons Financial Group,3.7,Applied Scientist Intern - PhD (US Remote - Fall 2024),Colorado,$30.00 - $45.00 Per Hour (Employer est.),30,No
Springer Capital,3.6,Actuarial Intern - Part-Time 24/25 School Year,Iowa,$80K - $110K (Glassdoor est.),80,No
TikTok,3.5,Inclusion Strategy Intern (Remote),Remote,$67K - $114K (Glassdoor est.),67,No
TikTok,3.4,Security Data Scientist Intern (Security Execution and Performance) - 2025 Summer (BS/MS),"San Jose, CA",$16.00 - $21.00 Per Hour (Employer est.),16,No
i3 Assembly,3.3,Machine Learning Engineer Intern (Risk Data Mining) - 2025 Summer (PhD),"San Jose, CA",$17.00 Per Hour (Employer est.),17,No
Metrex,3.6,"Intern, Quality Engineer","Binghamton, NY",$51K - $92K (Glassdoor est.),51,No
SiMa Technologies,4.1,Technical Research Intern,"Brea, CA",$17.00 Per Hour (Employer est.),17,No
Elanco,3.3,Computer Vision Intern (AI2338),"San Jose, CA",$17.00 Per Hour (Employer est.),17,No
Walter P Moore,3.7,IT Data Analyst Intern,"Greenfield, IN",$110K - $195K (Glassdoor est.),11,No
Data Device Corporation,4.2,Project Assistant Intern,"Orlando, FL",$79K - $129K (Glassdoor est.),79,No
RTI International,3.9,Quality Engineer Intern,"Poway, CA",$1K (Employer est.),1K,No
NJEDA,3.2,Geospatial Data Analyst Internship,"Durham, NC",$36K - $53K (Glassdoor est.),36,No
Amex,4.3,IT / Portal CRM Developer Intern,New Jersey,$44K - $62K (Glassdoor est.),44,No
Salina Regional Health Center,3.5,"Campus Undergraduate – 2025 US Consumer Services Data Analytics Summer Internship New York, NY",United States,$75K - $104K (Glassdoor est.),75,No
Leaner Creamer,3.6,INFORMATION TECHNOLOGY INTERN,"Salina, KS",$53K - $86K (Glassdoor est.),53,No
D.C. Witness,3.6,Pinterest Marketing Intern,"Los Angeles, CA",$34K - $44K (Glassdoor est.),34,No
Baylor College of Medicine,3.7,Editorial Intern,"Washington, DC",$40K - $56K (Glassdoor est.),40,No
Joby Aviation,3.8,Intern/Aide,United States,$53K - $98K (Glassdoor est.),53,No
VIP Detailing NJ LLC,5,Flight Control Systems Intern,"Santa Cruz, CA",$14.00 Per Hour (Employer est.),14,No
Yancey Bros. Co.,3.4,Sales Intern,"Elizabeth, NJ",$5K (Employer est.),5K,No
Applexus,4.2,Product Support Data Interns,"Austell, GA",$17.00 Per Hour (Employer est.),17,Yes
Vanguard,3.3,SAP Analytics Cloud (SAC) Intern,"Seattle, WA",$18.00 - $25.00 Per Hour (Employer est.),18,No
Deceuninck North America,3.7,College to Corporate Internship – Data Analyst Advanced Development Program,"Charlotte, NC",$15.00 Per Hour (Employer est.),15,No
Isuzu,3.6,Engineering Intern (Spring 2025),"Monroe, OH",$92K - $141K (Glassdoor est.),92,No
"Proliance Surgeons, Inc.",3.8,CV Testing & MBD Intern,"Plymouth, MI",$54K - $81K (Glassdoor est.),54,No
TikTok,4.3,Operations Intern,"Issaquah, WA",$8.00 Per Hour (Employer est.),8.,No
State Council of Higher Educ,3.2,"Backend Software Engineer Intern (TikTok Data Ecosystem, Data Lake) - 2025 Summer (BS/MS)","San Jose, CA",$17.50 Per Hour (Employer est.),17,No
South Dakota State Government,3.2,Virginia Talent + Opportunity Partnership Data Analytics Intern (#W0018),"Richmond, VA",$16.00 - $18.00 Per Hour (Employer est.),16,No
Amex,3.6,Intern- Hatchery (Spring),"Spearfish, SD",$34K - $54K (Glassdoor est.),34,No
Cobalt Stages,3.7,"Campus Undergraduate - 2025 Global Servicing & Business Strategy Summer Internship Sunrise, FL","Sunrise, FL",$22.00 - $25.00 Per Hour (Employer est.),22,No
TikTok,3.7,Film Production Intern,"Woodstock, NY",$17.10 - $20.00 Per Hour (Employer est.),17,No
IGT,2.4,Ad Data Solutions Intern (Global Business Solutions - Data Analytics) - 2025 Summer/Fall (BS/MS/MBA/PhD),United States,$71K - $111K (Glassdoor est.),71,No
Great American Insurance Company,4.1,Market Research Analyst Intern,"Austin, TX",$19.00 Per Hour (Employer est.),19,No
Simon-Kucher & Partners,3.9,Actuarial Intern - Summer 2025,"Cincinnati, OH",$45K - $73K (Glassdoor est.),45,No
"Viamatrix, Inc.",3,[UG/MS] Summer 2025 Intern/Associate Consultant - Americas Division,"Atlanta, IN",$48K - $74K (Glassdoor est.),48,No
Mars,3.3,Global Fuels Intern Analyst,"Charlotte, NC",$20.00 Per Hour (Employer est.),20,No
"Berry Global, Inc",3,"Summer 2025 Mars Wrigley Research & Development Internship - Chicago, IL","Chicago, IL",$19.00 - $30.00 Per Hour (Employer est.),19,No
Entergy Corporation,3.4,"PT BUSINESS ANALYTICS INTERN, YEAR ROUND","Evansville, IN",$19.13 - $30.00 Per Hour (Employer est.),19,No
Menards,4.3,"(Spring 2025) Student, Intern - Consolidated Security Operations Center Analyst (CSOC)","The Woodlands, TX",$44K - $69K (Glassdoor est.),44,No
New England Aquarium,3.4,Information Systems Internship,"Eau Claire, WI",$21.00 - $34.00 Per Hour (Employer est.),21,No
Speedway Motors Inc.,3.7,Volunteer Database Management Intern (Fall 2024),"Boston, MA",$20.00 Per Hour (Employer est.),20,No
Relay,3.4,Financial Analyst Intern,"Lincoln, NE",$20.00 - $25.00 Per Hour (Employer est.),20,No
Stand Together,3.3,Finance Intern (Financial Planning + Analysis),"Raleigh, NC",$24.05 - $63.00 Per Hour (Employer est.),24,No
RippleMatch Opportunities,2.9,KIP Fall 2024 - Media Intern - The Knee Regulatory Research Center,United States,$36K - $60K (Glassdoor est.),36,No
TikTok,3.7,"KPMG - Tax Intern (Winter 2025), application via RippleMatch","Minneapolis, MN",$37K - $56K (Glassdoor est.),37,No
IESC – the International Executive Service Corps,3.5,Information Governance Intern (Data Protection) - 2025 Summer (BS/MS),"San Jose, CA",$34K - $54K (Glassdoor est.),34,No
ZS,4.2,Internship Program,Georgia,$20.00 - $25.00 Per Hour (Employer est.),20,No
Riveron,3.8,Business Technology Solutions Associate - Intern,"Evanston, IL",$20.00 - $22.00 Per Hour (Employer est.),20,No
Infinity Energy,4.2,Business Transformation - Intern,"Chicago, IL",$16.00 Per Hour (Employer est.),16,No
Mars,3.9,Business Development Intern,"Orange, CA",$37K - $48K (Glassdoor est.),37,No
"Bank of China Limited, New York Branch",5,"Summer 2025 Mars Wrigley Procurement - Supply Chain Management Internship - Hackettstown, NJ","Hackettstown, NJ",$100K - $150K (Employer est.),10,No
FloSports,3.8,ADC/RSD Information/Cybersecurity Intern,United States,$61K - $114K (Glassdoor est.),61,No
Mountainland Association of Governments,3.9,Fall Internship - Global Partnerships,Remote,$60K - $97K (Glassdoor est.),60,No
ByteDance,3.6,GIS Data Intern,"Orem, UT",$44K - $59K (Glassdoor est.),44,No
ByteDance,5,Machine Learning Engineer Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (BS/MS),"San Jose, CA",$20.00 - $22.00 Per Hour (Employer est.),20,No
United Soccer League,4,Relational Database Intern (Data Tech Infra) - 2025 Summer (MS),"San Jose, CA",$18.00 Per Hour (Employer est.),18,No
Springer Capital,3.9,Technology & Data Services UWEP Internship - Fall 2024,Remote,$29K - $47K (Glassdoor est.),29,No
BCC Engineering,5,Diversity Outreach Intern (Remote),Remote,$45K - $73K (Glassdoor est.),45,No
"florrent, Inc.",3.7,Roadway Design Intern,"Altamonte Springs, FL",$58K - $108K (Glassdoor est.),58,No
Capital One,3.7,Marketing & Operations Intern/Co-op,"Somerville, MA",$22.00 Per Hour (Employer est.),22,No
MARA,3.2,Current PhD - Data Science Internship - Summer 2025,"McLean, VA",$21.20 - $24.90 Per Hour (Employer est.),21,No
New America,3.9,Part-time Software Development Engineer in Test Intern,"Dallas, TX",$15.00 Per Hour (Employer est.),15,No
Leonardo DRS,3.1,2024 Fall - Program Coordination Intern (paid),,$20.00 Per Hour (Employer est.),20,No
Engineersmind,2,"Fall 2024-Industrial Engineering Intern (MLB, FL)","Melbourne, FL",$20.00 Per Hour (Employer est.),20,No
Children's Legacy Center,4.1,Students/Graduates,New Jersey,$18.59 Per Hour (Employer est.),18,No
The Salvation Army National Headquarters,3.3,Research Assistant Intern,"Redding, CA",$46K - $69K (Glassdoor est.),46,No
Mars,4.3,Livelihoods Intern,"Alexandria, VA",$70K - $103K (Glassdoor est.),70,No
Cleveland Metropolitan School District,2.3,"Summer 2025 Mars Wrigley Supply Chain Internship - Hackettstown, NJ","Hackettstown, NJ",$53K - $85K (Glassdoor est.),53,No
ExxonMobil,3.7,College Intern - Internal Audit,"Cleveland, OH",$40K - $59K (Glassdoor est.),40,No
Cal “Cash” Jackson-Green Jr . For City Council,2.9,PhD Students Seeking Internship Opportunities,"Houston, TX",$20.00 Per Hour (Employer est.),20,No
"Y-UNIVERSE, INC",3.9,Campaign Intern,"Virginia Beach, VA",$100K - $150K (Employer est.),10,No
Commonwealth of PA,3.7,Marketing intern(E-Commerce),"Los Angeles, CA",$15.00 Per Hour (Employer est.),15,No
Astrobotic Technology Inc,3,Office of Health Equity Policy Intern (College),"Colonial Park, Dauphin, PA",$53K - $72K (Glassdoor est.),53,No
Allegheny County Department of Human Services,3.6,Fall Internship 2024 - Propulsion & Test,"Mojave, CA",$15.00 Per Hour (Employer est.),15,No
Vanguard,3.5,Internships at DHS,"Pittsburgh, PA",$16.00 - $46.00 Per Hour (Employer est.),16,No
Westinghouse Electric Co,4.2,Data Scientist Advanced Development Program Internship,"Charlotte, NC",$46K - $68K (Glassdoor est.),46,No
Social May Media LLC,4.2,eVinci Operations Engineering Intern,"Etna, PA",$50K - $71K (Glassdoor est.),50,No
Council on Foreign Relations,3.1,Project Manager Internship,Remote,$38.00 Per Hour (Employer est.),38,No
Tabyt,1.6,"Internship, Foreign Affairs, Marketing Product, Fall 2024",United States,$109K - $191K (Glassdoor est.),10,No
RippleMatch Opportunities,3.8,Intern - Research Data Assistant (2 Vacancies),"Atlanta, GA",$70K - $109K (Glassdoor est.),70,Yes
The Erosion Company,3.1,"GSK - Fall Co-op/Drug Product Development, application via RippleMatch",United States,$20.50 - $26.50 Per Hour (Employer est.),20,No
PNG WORLDWIDE,3.8,Commercial Analytics Summer 2025 Internship,"Jacksonville, FL",$18.00 - $22.00 Per Hour (Employer est.),18,No
NFP Corp,3.8,Supply Chain Analytics Intern,"Lititz, PA",$23.13 - $47.48 Per Hour (Employer est.),23,No
"Sony Pictures Entertainment, Inc.",3.2,Fall Co-op Intern - Analytics Analyst,"Norwell, MA",$18.00 - $20.00 Per Hour (Employer est.),18,No
"Isuzu Technical Center of America, Inc. (ITCA)",3.9,"Social Analytics & Insights Intern, SPT Research – Fall 2024","Culver City, CA",$24.26 - $28.39 Per Hour (Employer est.),24,No
EVERSOURCE,4.1,CV Testing & MBD Intern,"Plymouth, MI",$19.00 - $22.00 Per Hour (Employer est.),19,No
Advanced Technology Search Group,4.1,Solar Program Intern,"Westwood, MA",$40K - $71K (Glassdoor est.),40,No
Los Alamos National Laboratory,3,Marketing Internship,Remote,$16.00 - $46.00 Per Hour (Employer est.),16,No
Eaton,3.5,Biomedical Sciences Post-Baccalaureate Intern,"Los Alamos, NM",$20.40 - $28.30 Per Hour (Employer est.),20,No
